Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore
78,47,D8,2,1,440553,114 FULTON STREET,MANHATTAN,1000780047,67,C
113,100,W1,0,1,305000,411 PEARL STREET,MANHATTAN,1001130100,27,D
113,7501,R0,2,1,822318,375 PEARL STREET,MANHATTAN,1001137501,63,C
134,25,D4,2,1,88320,258 BROADWAY,MANHATTAN,1001340025,23,D
79,7503,R0,2,1,73121,71 NASSAU STREET,MANHATTAN,1000797503,1,D
80,4,H1,4,1,383166,55 CHURCH STREET,MANHATTAN,1000800004,48,D
117,1,D4,2,3,515425,185 PARK ROW,MANHATTAN,1001170001,55,C
134,7505,R0,2,1,144330,25 MURRAY STREET,MANHATTAN,1001347505,15,D
135,7501,R0,2,1,122000,261 BROADWAY,MANHATTAN,1001357501,74,B
137,5,D4,2,1,70000,80 WARREN STREET,MANHATTAN,1001370005,61,C
140,7501,R0,2,3,107190,165 CHAMBERS STREET,MANHATTAN,1001407501,80,B
140,7505,R0,2,1,92418,157 CHAMBERS STREET,MANHATTAN,1001407505,1,D
142,50,W5,0,1,780000,66 HARRISON STREET,MANHATTAN,1001420050,0,F
142,7503,R0,2,1,479813,111 MURRAY STREET,MANHATTAN,1001427503,35,D
143,4,D4,2,1,103750,55 HUDSON STREET,MANHATTAN,1001430004,72,B
90,17,D7,2,1,182499,113 NASSAU STREET,MANHATTAN,1000900017,13,D
90,7501,R0,2,1,420470,15 PARK ROW,MANHATTAN,1000907501,39,D
91,13,O5,4,1,38320,129 FULTON STREET,MANHATTAN,1000910013,46,D
92,14,H2,4,1,56790,49 ANN STREET,MANHATTAN,1000920014,26,D
92,7501,R0,2,1,167396,33 BEEKMAN STREET,MANHATTAN,1000927501,72,B
94,25,O3,0,1,655775,100 GOLD STREET,MANHATTAN,1000940025,72,B
96,12,K4,0,1,11500,15 FULTON STREET,MANHATTAN,1000960012,0,F
96,13,U7,0,1,0,FRONT STREET,MANHATTAN,1000960013,0,F
144,40,O4,4,1,802000,56 HUDSON STREET,MANHATTAN,1001440040,100,A
145,12,H2,4,1,53039,125 CHAMBERS STREET,MANHATTAN,1001450012,1,D
148,15,O6,4,1,702815,40 WORTH STREET,MANHATTAN,1001480015,81,B
146,7501,R0,2,1,44152,96 READE STREET,MANHATTAN,1001467501,13,D
149,33,O6,4,1,93615,277 BROADWAY,MANHATTAN,1001490033,73,B
158,1,M1,4,1,70590,27 DUANE STREET,MANHATTAN,1001580001,0,F
100,1,I1,4,1,301941,52 BEEKMAN STREET,MANHATTAN,1001000001,23,D
101,1,D4,2,1,111685,36 PARK ROW,MANHATTAN,1001010001,28,D
149,7501,R0,2,1,87136,77 READE STREET,MANHATTAN,1001497501,46,D
16,1,K2,0,1,28732,22 BATTERY PLACE,MANHATTAN,1000160001,0,F
153,24,O3,0,1,229824,23 CHAMBERS STREET,MANHATTAN,1001530024,86,A
153,7501,R0,2,1,237307,49 CHAMBERS STREET,MANHATTAN,1001537501,35,D
154,23,O3,0,1,71732,22 READE STREET,MANHATTAN,1001540023,71,B
111,150,W1,0,1,115659,78 CATHERINE STREET,MANHATTAN,1001110150,19,D
111,160,W1,0,3,111673,80 CATHERINE STREET,MANHATTAN,1001110160,54,D
172,7504,R0,2,1,94147,50 FRANKLIN STREET,MANHATTAN,1001727504,9,D
16,205,D8,2,1,239185,455 NORTH END AVENUE,MANHATTAN,1000160205,23,D
160,21,Z1,0,1,551025,58 CENTRE STREET,MANHATTAN,1001600021,50,D
121,1,O4,0,2,1056600,1 CENTRE STREET,MANHATTAN,1001210001,77,B
124,4,O6,4,1,205000,11 PARK PLACE,MANHATTAN,1001240004,52,D
16,7502,R0,2,1,150855,320 ALBANY STREET,MANHATTAN,1000167502,95,A
175,7504,R0,2,1,107222,90 FRANKLIN STREET,MANHATTAN,1001757504,83,B
16,7506,R0,2,1,106631,280 RECTOR PLACE,MANHATTAN,1000167506,40,D
124,11,O5,4,1,26705,25 PARK PLACE,MANHATTAN,1001240011,20,D
177,24,W6,4,1,33464,111 FRANKLIN STREET,MANHATTAN,1001770024,0,F
20,16,O4,4,1,309381,55 BROADWAY,MANHATTAN,1000200016,78,B
179,17,D0,2,1,51748,84 HUDSON STREET,MANHATTAN,1001790017,83,B
22,24,O4,4,1,300676,50 BROADWAY,MANHATTAN,1000220024,73,B
126,13,D5,2,1,138600,53 PARK PLACE,MANHATTAN,1001260013,13,D
126,27,D5,2,1,620552,120 CHURCH STREET,MANHATTAN,1001260027,44,D
128,2,O4,4,1,1133549,101 BARCLAY STREET,MANHATTAN,1001280002,77,B
188,7502,R0,2,1,94723,387 GREENWICH STREET,MANHATTAN,1001887502,2,D
24,36,O4,4,1,205940,50 BROAD STREET,MANHATTAN,1000240036,80,B
128,26,O6,4,1,258000,125 BARCLAY STREET,MANHATTAN,1001280026,69,C
27,9,D5,2,1,400531,63 WALL STREET,MANHATTAN,1000270009,52,D
190,7503,R0,2,1,108300,31 NORTH MOORE STREET,MANHATTAN,1001907503,64,C
170,7501,R0,2,1,414363,108 LEONARD STREET,MANHATTAN,1001707501,100,A
171,31,Z1,0,1,400975,52 LAFAYETTE STREET,MANHATTAN,1001710031,83,B
172,7501,R0,2,1,137500,374 BROADWAY,MANHATTAN,1001727501,20,D
133,7504,R0,2,1,26620,37 MURRAY STREET,MANHATTAN,1001337504,0,F
173,27,D6,2,1,396000,343 BROADWAY,MANHATTAN,1001730027,50,D
173,7501,R0,2,1,152495,66 LEONARD STREET,MANHATTAN,1001737501,16,D
173,7504,R0,2,1,166215,93 WORTH STREET,MANHATTAN,1001737504,21,D
133,7510,R0,2,1,35377,55 WARREN STREET,MANHATTAN,1001337510,91,A
135,7503,R0,2,1,37765,8 WARREN STREET,MANHATTAN,1001357503,0,F
136,7502,R0,2,1,65635,38 WARREN STREET,MANHATTAN,1001367502,8,D
195,2,O5,4,1,43300,384 BROADWAY,MANHATTAN,1001950002,93,A
195,30,K4,4,1,38890,80 WHITE STREET,MANHATTAN,1001950030,96,A
40,3,O4,4,1,1617206,60 WALL STREET,MANHATTAN,1000400003,72,B
175,33,D7,2,1,63600,365 BROADWAY,MANHATTAN,1001750033,51,D
42,1,D6,2,1,290116,100 MAIDEN LANE,MANHATTAN,1000420001,21,D
140,5,D6,2,1,144568,121 READE STREET,MANHATTAN,1001400005,60,C
42,22,D8,2,1,431000,10 LIBERTY STREET,MANHATTAN,1000420022,5,D
200,7502,R0,2,1,50089,202 CANAL STREET,MANHATTAN,1002007502,43,D
