score_address,place_address,Facility_Name,Longitude,Latitude,Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore,h3,similarity,rank
2486 AMSTERDAM AVENUE,2048 AMSTERDAM AVE,RAY’S PIZZA BAR,-73.9401402,40.8358612,2155,91,D1,2,1,36810,2486 AMSTERDAM AVENUE,MANHATTAN,1021550091,63,C,,0.9261904761904762,1
425 CENTRAL PARK WEST,405 CENTRAL PARK W,PERFECT PICNIC,-73.9628166,40.7943924,1838,7502,R0,2,1,48500,425 CENTRAL PARK WEST,MANHATTAN,1018387502,78,B,,0.9261904761904762,1
465 CENTRAL PARK WEST,405 CENTRAL PARK W,PERFECT PICNIC,-73.9628166,40.7943924,1842,32,HS,4,1,33450,465 CENTRAL PARK WEST,MANHATTAN,1018420032,16,D,,0.9261904761904762,1
250 BAYCHESTER AVENUE,200 BAYCHESTER AVE,CREPES NYC,-73.8267946,40.8643077,5141,1,K6,4,1,159856,250 BAYCHESTER AVENUE,BRONX,2051410001,0,F,,0.9261904761904762,1
1470 AMSTERDAM AVENUE,1701 AMSTERDAM AVE,FALAFEL TARBOOSH,-73.947764,40.824642,1984,1,D3,2,6,1291359,1470 AMSTERDAM AVENUE,MANHATTAN,1019840001,0,F,,0.9261904761904762,1
1616 AMSTERDAM AVENUE,1461 AMSTERDAM AVE,UPTOWN WINGZ,-73.9533301,40.8169101,2071,36,D6,2,1,58810,1616 AMSTERDAM AVENUE,MANHATTAN,1020710036,16,D,,0.9261904761904762,1
1091 AMSTERDAM AVENUE,1701 AMSTERDAM AVE,FALAFEL TARBOOSH,-73.947764,40.824642,1866,1,I1,4,7,511567,1091 AMSTERDAM AVENUE,MANHATTAN,1018660001,0,F,,0.9261904761904762,1
195-24 JAMAICA AVENUE,169-24 JAMAICA AVE,LA GARRA CATRACHA,-73.7898305,40.7069963,10823,31,C9,2,1,27849,195-24 JAMAICA AVENUE,QUEENS,-2147483648,92,A,,0.9261904761904762,1
2340 AMSTERDAM AVENUE,2420 AMSTERDAM AVE,JALAO NYC,-73.9315204,40.847742,2132,47,D7,2,1,90506,2340 AMSTERDAM AVENUE,MANHATTAN,1021320047,9,D,,0.9261904761904762,1
2502 AMSTERDAM AVENUE,2102 AMSTERDAM AVE,DON PANCHITO,-73.9388442,40.8374543,2156,22,D7,2,1,36108,2502 AMSTERDAM AVENUE,MANHATTAN,1021560022,43,D,,0.9261904761904762,1
1510 LEXINGTON AVENUE,1109 LEXINGTON AVE,MIGHTY BOWL,-73.959537,40.773836,1625,16,D6,2,1,308257,1510 LEXINGTON AVENUE,MANHATTAN,1016250016,63,C,,0.9261904761904762,1
1901 AMSTERDAM AVENUE,1701 AMSTERDAM AVE,FALAFEL TARBOOSH,-73.947764,40.824642,2068,46,D3,2,1,197640,1901 AMSTERDAM AVENUE,MANHATTAN,1020680046,0,F,,0.9261904761904762,1
1970 AMSTERDAM AVENUE,1701 AMSTERDAM AVE,FALAFEL TARBOOSH,-73.947764,40.824642,2116,33,D3,2,1,133244,1970 AMSTERDAM AVENUE,MANHATTAN,1021160033,0,F,,0.9261904761904762,1
2608 AMSTERDAM AVENUE,2089 AMSTERDAM AVE,FISH AND SHRIMP,-73.9387616,40.8368211,2159,83,C7,2,1,45125,2608 AMSTERDAM AVENUE,MANHATTAN,1021590083,58,C,,0.9261904761904762,1
101 CENTRAL PARK WEST,160 CENTRAL PARK S,BOURBON STEAK BY MICHAEL MINA,-73.9785692,40.7662819,1123,29,D4,2,1,384336,101 CENTRAL PARK WEST,MANHATTAN,1011230029,83,B,,0.9261904761904762,1
455 CENTRAL PARK WEST,405 CENTRAL PARK W,PERFECT PICNIC,-73.9628166,40.7943924,1841,7503,R0,2,1,214358,455 CENTRAL PARK WEST,MANHATTAN,1018417503,0,F,,0.9261904761904762,1
1017 LEXINGTON AVENUE,1907 LEXINGTON AVE,NEW HONG KONG KITCHEN,-73.9402814,40.8002363,1407,51,D4,2,1,97328,1017 LEXINGTON AVENUE,MANHATTAN,1014070051,55,C,,0.9261904761904762,1
1201 AMSTERDAM AVENUE,1701 AMSTERDAM AVE,FALAFEL TARBOOSH,-73.947764,40.824642,1962,38,D6,2,1,87271,1201 AMSTERDAM AVENUE,MANHATTAN,1019620038,40,D,,0.9261904761904762,1
170 CENTRAL PARK WEST,160 CENTRAL PARK S,BOURBON STEAK BY MICHAEL MINA,-73.9785692,40.7662819,1129,29,P7,4,1,155933,170 CENTRAL PARK WEST,MANHATTAN,1011290029,0,F,,0.9261904761904762,1
182-10 LIBERTY AVENUE,127-10 LIBERTY AVE,XSCAPE NYC,-73.817486,40.6887189,10343,40,M9,0,2,30000,182-10 LIBERTY AVENUE,QUEENS,-2147483648,0,F,,0.9261904761904762,1
166-25 JAMAICA AVENUE,196-25 JAMAICA AVE,EL PALO,-73.7629078,40.7134862,9796,5,K4,4,1,30530,166-25 JAMAICA AVENUE,QUEENS,-2147483648,86,A,,0.9261904761904762,1
2324 AMSTERDAM AVENUE,2244 AMSTERDAM AVE,LA ESQUINA DE NAGUA,-73.9354683,40.8423111,2132,58,D7,2,1,56250,2324 AMSTERDAM AVENUE,MANHATTAN,1021320058,32,D,,0.9261904761904762,1
1028 AMSTERDAM AVENUE,1528 AMSTERDAM AVE,HOME SWEET HARLEM,-73.9521175,40.8193459,1882,36,D4,2,1,55868,1028 AMSTERDAM AVENUE,MANHATTAN,1018820036,17,D,,0.9261904761904762,1
1050 AMSTERDAM AVENUE,1605 AMSTERDAM AVE,FARMER'S FRIDGE,-73.9503319,40.8216535,1883,36,D3,2,1,67536,1050 AMSTERDAM AVENUE,MANHATTAN,1018830036,59,C,,0.9261904761904762,1
420 CENTRAL PARK WEST,405 CENTRAL PARK W,PERFECT PICNIC,-73.9628166,40.7943924,1838,7501,R0,2,1,47400,420 CENTRAL PARK WEST,MANHATTAN,1018387501,84,B,,0.9261904761904762,1
1021 AMSTERDAM AVENUE,1701 AMSTERDAM AVE,FALAFEL TARBOOSH,-73.947764,40.824642,1865,1,M1,4,7,13435076,1021 AMSTERDAM AVENUE,MANHATTAN,1018650001,100,A,,0.9261904761904762,1
1328 LEXINGTON AVENUE,1280 LEXINGTON AVE,OLE & STEEN,-73.95544,40.7800193,1517,58,D7,2,1,64344,1328 LEXINGTON AVENUE,MANHATTAN,1015170058,7,D,,0.9261904761904762,1
1012 AMSTERDAM AVENUE,1701 AMSTERDAM AVE,FALAFEL TARBOOSH,-73.947764,40.824642,1881,35,D7,2,1,31644,1012 AMSTERDAM AVENUE,MANHATTAN,1018810035,1,D,,0.9261904761904762,1
410 CENTRAL PARK WEST,405 CENTRAL PARK W,PERFECT PICNIC,-73.9628166,40.7943924,1836,36,D4,2,1,100530,410 CENTRAL PARK WEST,MANHATTAN,1018360036,89,A,,0.9261904761904762,1
1801 AMSTERDAM AVENUE,1701 AMSTERDAM AVE,FALAFEL TARBOOSH,-73.947764,40.824642,2064,1,M1,4,1,36432,1801 AMSTERDAM AVENUE,MANHATTAN,1020640001,0,F,,0.9261904761904762,1
2308 AMSTERDAM AVENUE,2048 AMSTERDAM AVE,RAY’S PIZZA BAR,-73.9401402,40.8358612,2131,44,D7,2,1,64848,2308 AMSTERDAM AVENUE,MANHATTAN,1021310044,40,D,,0.9261904761904762,1
415 CENTRAL PARK WEST,405 CENTRAL PARK W,PERFECT PICNIC,-73.9628166,40.7943924,1837,29,D4,2,1,132877,415 CENTRAL PARK WEST,MANHATTAN,1018370029,84,B,,0.9261904761904762,1
27-10 ASTORIA BOULEVARD,27-02 ASTORIA BLVD,BZ GRILL,-73.921429,40.770726,573,46,D7,2,1,25920,27-10 ASTORIA BOULEVARD,QUEENS,-2147483648,91,A,,0.9261674718196458,1
41-61 KISSENA BOULEVARD,41-41 KISSENA BLVD,YAZHAYIFUREN,-73.8281712,40.7578666,5045,1,O5,4,1,363663,41-61 KISSENA BOULEVARD,QUEENS,-2147483648,44,D,,0.9261674718196458,1
1100 CLOVE ROAD,1150 CLOVE RD,THE STONE HOUSE AT CLOVE LAKES,-74.10814,40.617744,327,60,D4,2,1,127800,1100 CLOVE ROAD,STATEN ISLAND,-2147483648,56,C,,0.9261538461538461,1
47 RALPH AVENUE,479 RALPH AVE,NO 1,-73.9220391,40.6729098,1480,2,W8,4,1,32550,47 RALPH AVENUE,BROOKLYN,-2147483648,0,F,,0.9261538461538461,1
101 POST AVENUE,1021 POST AVE,JOE MOZZ INC.,-74.1343865,40.6330624,2219,1,C1,2,1,94100,101 POST AVENUE,MANHATTAN,1022190001,1,D,,0.9261538461538461,1
117 CLINTON STREET,11 CLINTON ST,IKOYI RESTAURANT AND LOUNGE,-74.1707431,40.7361334,265,17,W3,4,1,30560,117 CLINTON STREET,BROOKLYN,-2147483648,1,D,,0.9259259259259259,1
267 PACIFIC STREET,26 PACIFIC ST,GERALD'S ALTA MAR RESTAURANT,-74.1657495,40.7274511,181,31,D6,2,1,49997,267 PACIFIC STREET,BROOKLYN,-2147483648,84,B,,0.9259259259259259,1
114 CLINTON STREET,11 CLINTON ST,IKOYI RESTAURANT AND LOUNGE,-74.1707431,40.7361334,254,1,D4,2,1,48138,114 CLINTON STREET,BROOKLYN,-2147483648,40,D,,0.9259259259259259,1
211 MADISON AVENUE,11 MADISON AVE,ELEVEN MADISON PARK,-73.9871904,40.7415982,865,7501,R0,2,1,86314,211 MADISON AVENUE,MANHATTAN,1008657501,0,F,,0.9259259259259259,1
266 MADISON AVENUE,66 MADISON AVE,OLDE CITY CHEESESTEAKS & BREW,-73.9860792,40.7436373,869,16,O6,4,1,217317,266 MADISON AVENUE,MANHATTAN,1008690016,66,C,,0.9259259259259259,1
2320 KINGS HIGHWAY,230 KINGS HWY,ROYAL GARDEN TBILISI,-73.9822576,40.605312,6770,40,D1,2,1,53200,2320 KINGS HIGHWAY,BROOKLYN,-2147483648,37,D,,0.9259259259259259,1
366 MADISON AVENUE,66 MADISON AVE,OLDE CITY CHEESESTEAKS & BREW,-73.9860792,40.7436373,1281,56,O6,4,1,84518,366 MADISON AVENUE,MANHATTAN,1012810056,64,C,,0.9259259259259259,1
77 BOWERY,97 BOWERY,FLAMING KITCHEN,-73.9949959,40.717348,303,7502,R0,2,1,44673,77 BOWERY,MANHATTAN,1003037502,43,D,,0.9259259259259259,1
1146 OGDEN AVENUE,1416 OGDEN AVE,EL DIVINO MC RESTAURANT,-73.923673,40.842898,2514,50,D1,2,1,50400,1146 OGDEN AVENUE,BRONX,2025140050,1,D,,0.9256302521008403,1
212 IRVING AVENUE,221 IRVING AVE,MI PEQUEÑO RESTAURANT,-73.9175194,40.7009227,3289,27,W1,0,1,30400,212 IRVING AVENUE,BROOKLYN,-2147483648,89,A,,0.9256302521008403,1
1001 BRIGHTON BEACH AVENUE,1067 BRIGHTON BEACH AVE,GOLDEN KEY 2,-73.9575846,40.5783816,8707,452,K4,4,1,46017,1001 BRIGHTON BEACH AVENUE,BROOKLYN,-2147483648,1,D,,0.9255295429208472,1
102-00 SHORE FRONT PARKWAY,106-01 SHORE FRONT PKWY,BROTHERS,-73.8260849,40.5806032,16175,1,D4,2,3,657345,102-00 SHORE FRONT PARKWAY,QUEENS,-2147483648,15,D,,0.9255295429208472,1
30-35 COLLEGE POINT BOULEVARD,36-35 COLLEGE POINT BLVD,CHINA FUN,-73.8345715,40.760348,4357,100,G8,4,1,66728,30-35 COLLEGE POINT BOULEVARD,QUEENS,-2147483648,0,F,,0.9254310344827587,1
866 CONEY ISLAND AVENUE,786 CONEY ISLAND AVE,GOURMET PALACE,-73.9686802,40.6382655,5403,16,C7,2,1,38500,866 CONEY ISLAND AVENUE,BROOKLYN,-2147483648,8,D,,0.9253623188405796,1
692 METROPOLITAN AVENUE,924 METROPOLITAN AVE,TURTLEHEAD TACOS,-73.938058,40.7144889,2764,8,D5,2,1,37500,692 METROPOLITAN AVENUE,BROOKLYN,-2147483648,55,C,,0.9253623188405796,1
215-15 NORTHERN BOULEVARD,251-15 NORTHERN BLVD,NEW NORTHERN MANOR,-73.7367782,40.7694178,6308,7501,R0,2,1,30771,215-15 NORTHERN BOULEVARD,QUEENS,-2147483648,17,D,,0.9249999999999999,1
1125 PARK AVENUE,125 PARK AVE,LITTLE BEET,-73.977923,40.7516036,1519,1,D4,2,1,211870,1125 PARK AVENUE,MANHATTAN,1015190001,67,C,,0.9249999999999999,1
285 LAFAYETTE STREET,25 LAFAYETTE ST,RESTAURANT AT PRUDENTIAL CENTER,-74.171261,40.733282,510,7501,R0,2,1,130076,285 LAFAYETTE STREET,MANHATTAN,1005107501,76,B,,0.9249999999999999,1
225 LAFAYETTE STREET,25 LAFAYETTE ST,RESTAURANT AT PRUDENTIAL CENTER,-74.171261,40.733282,481,7502,R0,2,1,80052,225 LAFAYETTE STREET,MANHATTAN,1004817502,1,D,,0.9249999999999999,1
64 5 AVENUE,64 SIP AVENUE,DREAM SPICY 2,-74.0621111,40.7307091,576,42,W6,4,1,49391,64 5 AVENUE,MANHATTAN,1005760042,0,F,,0.9249417249417249,1
121 ST NICHOLAS AVENUE,1249 ST NICHOLAS AVE,ELSA LA REINA DEL CHICHARRON,-73.9379049,40.8438389,1922,24,D7,2,1,55230,121 ST NICHOLAS AVENUE,MANHATTAN,1019220024,99,A,,0.9248484848484849,1
100 ST NICHOLAS AVENUE,1055 ST NICHOLAS AVE,LOS AMIGOS FOOD DELI,-73.9402733,40.8368818,1825,1,D4,2,1,49951,100 ST NICHOLAS AVENUE,MANHATTAN,1018250001,61,C,,0.9248484848484849,1
147 ST NICHOLAS AVENUE,1405 ST NICHOLAS AVE,MUNCHIES THE BEST TASTE,-73.934172,40.8489167,1923,49,W2,4,1,49619,147 ST NICHOLAS AVENUE,MANHATTAN,1019230049,94,A,,0.9248484848484849,1
243 4TH AVE,244 5TH AVE,ATLANTIC BOOM FOOD LLC,-73.9875404,40.7445721,958,7,D7,2,1,30000,243 4TH AVE,BROOKLYN,-2147483648,91,A,,0.9248484848484849,1
60-15 FRESH POND ROAD,65-04 FRESH POND RD,ENERGY FUEL,-73.8989808,40.7094995,2757,1,C1,2,1,32526,60-15 FRESH POND ROAD,QUEENS,-2147483648,100,A,,0.92468671679198,1
60-11 BROADWAY,160 BROADWAY,160 BROADWAY HEALTH & MEDICAL,-74.01012,40.70944,1188,55,D4,2,1,131413,60-11 BROADWAY,QUEENS,-2147483648,100,A,,0.9246031746031745,1
1852 WASHINGTON AVENUE,52 WASHINGTON AVE,WASHINGTON SEA FOOD,-73.9678149,40.6971834,2917,17,D1,2,1,122650,1852 WASHINGTON AVENUE,BRONX,2029170017,17,D,,0.9242424242424242,1
41-42 COLLEGE POINT BOULEVARD,41-08 COLLEGE POINT BLVD,HEY KITCHEN,-73.833814,40.755912,5063,7501,R0,2,1,38140,41-42 COLLEGE POINT BOULEVARD,QUEENS,-2147483648,0,F,,0.9242337164750958,1
21 NOSTRAND AVENUE,2124 NOSTRAND AVE,DEBE KITCHEN,-73.9478536,40.6335965,1719,1,D6,2,16,822192,21 NOSTRAND AVENUE,BROOKLYN,-2147483648,0,F,,0.9241830065359478,1
96-10 SHORE FRONT PARKWAY,97-01 SHORE FRONT PKWY,SEANY PIZZA,-73.8178865,40.5830385,16169,7501,R0,2,1,57715,96-10 SHORE FRONT PARKWAY,QUEENS,-2147483648,58,C,,0.9240779220779219,1
55-20 METROPOLITAN AVENUE,52-35 METROPOLITAN AVE,LA PARRILLADA COLOMBIANA,-73.9131352,40.7134889,3365,27,W1,0,1,102450,55-20 METROPOLITAN AVENUE,QUEENS,-2147483648,6,D,,0.9240779220779219,1
71-57 METROPOLITAN AVENUE,74-17 METROPOLITAN AVE,KLAN DESTINO,-73.877551,40.7130113,3055,7502,R0,2,1,53536,71-57 METROPOLITAN AVENUE,QUEENS,-2147483648,76,B,,0.9240779220779219,1
147-25 NORTHERN BOULEVARD,147-48 NORTHERN BLVD,TARIM UYGHUR RESTAURANT,-73.8173552,40.7651497,5005,59,D1,2,1,140000,147-25 NORTHERN BOULEVARD,QUEENS,-2147483648,38,D,,0.924,1
149-06 NORTHERN BOULEVARD,149-44 NORTHERN BLVD,NORTHERN WANG MANDOO,-73.8155717,40.7651489,5017,7503,R0,2,1,93932,149-06 NORTHERN BOULEVARD,QUEENS,-2147483648,2,D,,0.924,1
147-15 NORTHERN BOULEVARD,147-48 NORTHERN BLVD,TARIM UYGHUR RESTAURANT,-73.8173552,40.7651497,5005,64,D1,2,1,90180,147-15 NORTHERN BOULEVARD,QUEENS,-2147483648,84,B,,0.924,1
156-10 NORTHERN BOULEVARD,156-34 NORTHERN BLVD,PHO MEKONG RESTAURANT,-73.8091876,40.7632923,5275,1,K6,4,1,48585,156-10 NORTHERN BOULEVARD,QUEENS,-2147483648,0,F,,0.924,1
144-74 NORTHERN BOULEVARD,144-18 NORTHERN BLVD,天府小串城,-73.8226134,40.7644924,5014,7502,R0,2,1,174724,144-74 NORTHERN BOULEVARD,QUEENS,-2147483648,0,F,,0.924,1
149-35 NORTHERN BOULEVARD,149-44 NORTHERN BLVD,NORTHERN WANG MANDOO,-73.8155717,40.7651489,5007,1,D4,2,1,135480,149-35 NORTHERN BOULEVARD,QUEENS,-2147483648,94,A,,0.924,1
651 CONEY ISLAND AVENUE,1568 CONEY ISLAND AVE,BONAPTIT,-73.9644675,40.6191473,5141,7501,R0,2,1,48171,651 CONEY ISLAND AVENUE,BROOKLYN,-2147483648,76,B,,0.9239820565907522,1
527 CONEY ISLAND AVENUE,2775 CONEY ISLAND AVE,LEVEL RESTAURANT & BAR,-73.9601804,40.5887268,5113,24,D6,2,1,64364,527 CONEY ISLAND AVENUE,BROOKLYN,-2147483648,82,B,,0.9239820565907522,1
10720 AVENUE D,10101 AVENUE D,TERI NICHOLS FOODS,-73.9027839,40.6535834,8138,225,E1,4,1,45165,10720 AVENUE D,BROOKLYN,-2147483648,57,C,,0.9238095238095239,1
127-03 JAMAICA AVENUE,123 JAMAICA AVE,BONAO BAR & GRILL,-73.8958374,40.6790801,9281,46,D1,2,1,74542,127-03 JAMAICA AVENUE,QUEENS,-2147483648,85,A,,0.9238095238095239,1
1596 YORK AVENUE,1599 YORK AVE,SIP & SIZZLE,-73.9481234,40.7750056,1581,49,D8,2,1,242032,1596 YORK AVENUE,MANHATTAN,1015810049,2,D,,0.9237179487179488,1
7101 BAY PARKWAY,7106 BAY PKWY,PEKING KITCHEN,-73.985048,40.6103655,6595,5,D7,2,1,47544,7101 BAY PARKWAY,BROOKLYN,-2147483648,7,D,,0.9237179487179488,1
7 LEXINGTON AVENUE,97 LEXINGTON AVE,LEX GRILL & JUICE BAR,-73.982724,40.7418033,877,67,D4,2,1,84851,7 LEXINGTON AVENUE,MANHATTAN,1008770067,88,A,,0.9236111111111112,1
73 MONTROSE AVENUE,173 MONTROSE AVE,BROOKLYN MAC,-73.9422541,40.707598,3050,23,D7,2,1,33294,73 MONTROSE AVENUE,BROOKLYN,-2147483648,61,C,,0.9236111111111112,1
65 TOMPKINS AVENUE,165 TOMPKINS AVE,KORKSCREW BISTRO,-73.9457903,40.6937757,1740,1,D3,2,9,800000,65 TOMPKINS AVENUE,BROOKLYN,-2147483648,0,F,,0.9236111111111112,1
34 FRANKLIN AVENUE,234 FRANKLIN AVE,EDEN'S SWEET IDEAS,-74.1615388,40.8155826,1884,53,O5,4,1,27228,34 FRANKLIN AVENUE,BROOKLYN,-2147483648,0,F,,0.9236111111111112,1
295 1 AVENUE,2951 AVENUE U,IHOP,-73.9410581,40.60068,922,70,D3,2,1,98260,295 1 AVENUE,MANHATTAN,1009220070,58,C,,0.9234459984459984,1
511 9 AVENUE,5119 AVENUE U,KINGS PASTRAMI,-73.9222248,40.6101845,736,7501,R0,2,1,144242,511 9 AVENUE,MANHATTAN,1007367501,80,B,,0.9234459984459984,1
191 7 AVENUE,1917 AVENUE U,SHERDOR,-73.9520539,40.5994209,797,2,K9,0,2,61232,191 7 AVENUE,MANHATTAN,1007970002,4,D,,0.9234459984459984,1
163-03 HORACE HARDING EXPWY,221-06 HORACE HARDING EXPY,THANK YOU DONUTS & CORN DOGS,-73.7560755,40.749092,6741,6,O2,4,1,41000,163-03 HORACE HARDING EXPWY,QUEENS,-2147483648,54,D,,0.9234330484330484,1
1206 WESTCHESTER AVENUE,2160 WESTCHESTER AVE,SPICE UP SWEETS AND RESTAURANT,-73.8523954,40.8341011,2750,22,C7,2,1,81708,1206 WESTCHESTER AVENUE,BRONX,2027500022,75,B,,0.9231884057971014,1
55 WASHINGTON SQUARE SOUTH,55 WASHINGTON ST,UNDERGROUND EATS,-73.9894943,40.7028533,541,23,M1,4,1,41500,55 WASHINGTON SQUARE SOUTH,MANHATTAN,1005410023,97,A,,0.9230769230769231,1
98-23 HORACE HARDING EXPWY,185-24 HORACE HARDING EXPY,SUNSHINE CAFE,-73.7884532,40.7398139,1918,85,D1,2,1,232000,98-23 HORACE HARDING EXPWY,QUEENS,-2147483648,71,B,,0.923076923076923,1
37-12 PRINCE STREET,37-20 PRINCE ST,COCO HOTPOT 皇椰鸡,-73.8328778,40.7602544,4972,7502,R0,2,1,96902,37-12 PRINCE STREET,QUEENS,-2147483648,87,A,,0.9230409356725146,1
1185 MORRIS AVENUE,1105 MORRIS AVE,MIGHTY QUINN'S BARBEQUE,-74.2339747,40.6830359,2449,64,D1,2,1,45416,1185 MORRIS AVENUE,BRONX,2024490064,49,D,,0.922962962962963,1
299 MADISON AVENUE,290 MADISON AVE,'ESSEN,-73.9801766,40.7518,1276,23,HB,4,1,32944,299 MADISON AVENUE,MANHATTAN,1012760023,1,D,,0.922962962962963,1
360 MADISON AVENUE,363 MADISON AVE,D & J COUNTRY COOKING,-74.2136887,40.7264171,1281,7501,R0,2,1,356057,360 MADISON AVENUE,MANHATTAN,1012817501,75,B,,0.922962962962963,1
231 SHERMAN AVENUE,238 SHERMAN AVE,UTOPIA KITCHEN AND LOUNGE,-73.9195689,40.8661674,2223,1,D7,2,1,47262,231 SHERMAN AVENUE,MANHATTAN,1022230001,1,D,,0.922962962962963,1
10 SULLIVAN STREET,103 SULLIVAN ST,SORATE,-74.0028169,40.7256235,490,7502,R0,2,1,80657,10 SULLIVAN STREET,MANHATTAN,1004907502,13,D,,0.922962962962963,1
1180 FOREST AVENUE,1198 FOREST AVE,CALL IT A WRAP,-74.1298842,40.6262211,2662,10,C7,2,1,34465,1180 FOREST AVENUE,BRONX,2026620010,83,B,,0.922962962962963,1
2483 JEROME AVENUE,2448 JEROME AVE,EL VALLE RENACER,-73.9009116,40.8625652,3200,16,C7,2,1,60000,2483 JEROME AVENUE,BRONX,2032000016,68,C,,0.922962962962963,1
145 LINCOLN AVENUE,143 LINCOLN AVE,CUPIDO'S BAR & RESTAURANT,-74.2360056,40.7700144,3585,7502,R0,2,1,133735,145 LINCOLN AVENUE,STATEN ISLAND,-2147483648,73,B,,0.922962962962963,1
292 MADISON AVENUE,290 MADISON AVE,'ESSEN,-73.9801766,40.7518,1275,59,O4,4,1,170230,292 MADISON AVENUE,MANHATTAN,1012750059,63,C,,0.922962962962963,1
327 BEDFORD AVENUE,326 BEDFORD AVE,MISSION SANDWICH SOCIAL,-73.962277,40.7132133,2418,3,C7,0,1,26064,327 BEDFORD AVENUE,BROOKLYN,-2147483648,45,D,,0.922962962962963,1
2424 JEROME AVENUE,2448 JEROME AVE,EL VALLE RENACER,-73.9009116,40.8625652,3188,20,W1,0,1,54614,2424 JEROME AVENUE,BRONX,2031880020,64,C,,0.922962962962963,1
550 MADISON AVENUE,555 MADISON AVE,PROPER FOOD,-73.973032,40.7612598,1291,10,O4,4,1,685125,550 MADISON AVENUE,MANHATTAN,1012910010,89,A,,0.922962962962963,1
1635 PUTNAM AVENUE,1693 PUTNAM AVE,RANDY'S RESTAURANT,-73.9066696,40.7003403,3545,69,C1,0,1,36390,1635 PUTNAM AVENUE,QUEENS,-2147483648,90,A,,0.922962962962963,1
2175 MORRIS AVENUE,2185 MORRIS AVE,GOLDEN HORSE CHINESE RESTAURANT,-73.9033203,40.8561134,3181,45,C1,2,1,36600,2175 MORRIS AVENUE,BRONX,2031810045,28,D,,0.922962962962963,1
232 SHERMAN AVENUE,238 SHERMAN AVE,UTOPIA KITCHEN AND LOUNGE,-73.9195689,40.8661674,2227,29,C7,2,1,40644,232 SHERMAN AVENUE,MANHATTAN,1022270029,23,D,,0.922962962962963,1
295 MADISON AVENUE,290 MADISON AVE,'ESSEN,-73.9801766,40.7518,1275,50,O4,4,1,301128,295 MADISON AVENUE,MANHATTAN,1012750050,82,B,,0.922962962962963,1
299 BEDFORD AVENUE,292 BEDFORD AVE,HOLE IN THE WALL - WILLIAMSBURG,-73.9615071,40.7145704,2406,7501,R0,2,1,45963,299 BEDFORD AVENUE,BROOKLYN,-2147483648,51,D,,0.922962962962963,1
129 MADISON AVENUE,121 MADISON AVE,SHINPI OMAKASE,-73.9845455,40.7453829,860,61,H6,4,1,98234,129 MADISON AVENUE,MANHATTAN,1008600061,82,B,,0.922962962962963,1
240 MADISON AVENUE,241 MADISON AVE,SERAFINA ITALIAN RESTAURANT 38TH MADISON,-73.9812266,40.7499931,867,18,O6,0,2,74257,240 MADISON AVENUE,MANHATTAN,1008670018,26,D,,0.922962962962963,1
268 BEDFORD AVENUE,265 BEDFORD AVE,HEALTHY WAY ORGANIC MARKET,-73.9608852,40.7147416,2365,19,N2,4,1,42480,268 BEDFORD AVENUE,BROOKLYN,-2147483648,91,A,,0.922962962962963,1
590 BEDFORD AVENUE,595 BEDFORD AVE,KLEIN'S KOSHER,-73.9604357,40.7036298,2192,50,W2,4,1,36468,590 BEDFORD AVENUE,BROOKLYN,-2147483648,16,D,,0.922962962962963,1
520 STANLEY AVENUE,521 STANLEY AVE,EAST COAST STREET TACOS,-73.8890179,40.657243,4369,1,D3,2,4,307920,520 STANLEY AVENUE,BROOKLYN,-2147483648,0,F,,0.922962962962963,1
1175 MORRIS AVENUE,1105 MORRIS AVE,MIGHTY QUINN'S BARBEQUE,-74.2339747,40.6830359,2449,68,D1,2,1,44865,1175 MORRIS AVENUE,BRONX,2024490068,37,D,,0.922962962962963,1
404 AUDUBON AVENUE,400 AUDUBON AVE,L CHINGON MEXICAN CUISINE,-73.930679,40.8512677,2157,50,C1,0,3,58295,404 AUDUBON AVENUE,MANHATTAN,1021570050,98,A,,0.922962962962963,1
18 BLEECKER STREET,182 BLEECKER ST,SING CHA CHAAN TENG,-74.0010565,40.7289292,521,43,M2,4,1,27935,18 BLEECKER STREET,MANHATTAN,1005210043,0,F,,0.922962962962963,1
242 MADISON AVENUE,241 MADISON AVE,SERAFINA ITALIAN RESTAURANT 38TH MADISON,-73.9812266,40.7499931,867,57,D4,2,1,142836,242 MADISON AVENUE,MANHATTAN,1008670057,21,D,,0.922962962962963,1
551 MADISON AVENUE,555 MADISON AVE,PROPER FOOD,-73.973032,40.7612598,1291,21,O6,4,1,125495,551 MADISON AVENUE,MANHATTAN,1012910021,72,B,,0.922962962962963,1
2940 OCEAN PARKWAY,2901 OCEAN PKWY,ORIENTAL CHINESE RESTAURANT,-73.9721756,40.5798836,7274,20,D7,2,1,470000,2940 OCEAN PARKWAY,BROOKLYN,-2147483648,49,D,,0.922962962962963,1
50 AVENUE X,580 AVENUE C,EAT RICE,-74.1185134,40.6670629,7185,20,W1,0,2,365776,50 AVENUE X,BROOKLYN,-2147483648,81,B,,0.9227272727272726,1
1400 WILLIAMSBRIDGE ROAD,1605 WILLIAMSBRIDGE RD,XOKOTL DELI,-73.8493757,40.847163,4074,1,Z1,0,1,17760,1400 WILLIAMSBRIDGE ROAD,BRONX,2040740001,87,A,,0.9227272727272726,1
